*UEL PROPERTY
500.0,  0.2,    1.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0
6.0,    0.47,   1.0,    0.0,    -1.0,    0.0,    0.0,    20.0,    0.0
6.0,    0.47,   1.0,    0.0,    -1.0,    0.0,    0.0,    50.0,    0.0
6.0,    0.47,   1.0,    0.0,    -1.0,    0.0,    0.0,    0.0,    0.0
6.0,    0.47,   1.0,    0.0,    0.2,    0.0,    0.0,    -2.0,    0.0
6.0,    0.47,   1.0,    0.0,    1.0,    0.0,    0.0,    -1.0,    2.0
E,      nu,     D,      f1,     f2,     g1,     g2,     h1,     h2
